File,X,Y,Z
F09F1V1,-0.899,1.022,-1.346
F09F1V2,-1.041,1.021,-1.285
F09F2V1,-1.038,1.017,-1.218
F09F3V1,-1.258,1.024,-1.382
F09F4V1,-1.261,1.02,-1.751
F09F5V1,-1.391,1.016,-1.781
F09H0V1,0.971,1.029,-1.94
F09H1V1,-1.304,1.024,0.61
F09H2V1,-1.363,1.024,0.565
F09H3V1,-1.425,1.021,0.137
F09H3V2,-1.301,1.021,-0.485
F09H3V3,-0.224,1.025,-0.24
F09H4V1,-0.244,1.022,-0.278
F09H5V1,-0.478,1.025,-0.244
F09N1V1,-0.048,1.03,-0.656
F09N1V2,-0.062,1.029,-0.794
F09N2V1,-0.065,1.03,-0.852
F09N2V2,-0.042,1.03,-1.006
F09N3V1,-0.087,1.03,-1.118
F09N3V2,-0.082,1.031,-1.211
F09N3V3,-0.082,1.031,-2.098
F09N4V1,-0.078,1.031,-2.141
F09N5V1,-0.084,1.03,-2.226
F09SA0V1,0.018,1.03,-0.376
F09SA1V1,-0.825,1.025,-1.727
F09SA1V2,-0.821,1.024,-1.721
F09SA1V3,-0.34,1.023,-2.041
F09SA2V1,-0.361,1.024,-2.098
F09SA2V2,-0.376,1.027,-0.145
F09SA3V1,-0.394,1.025,-0.378
F09SA3V2,-0.402,1.025,-0.51
F09SA4V1,-0.242,1.027,0.469
F09SA5V1,-0.201,1.022,0.314
F09SA5V2,-1.246,1.022,0.726
F09SU0V1,-0.001,1.029,-0.523
F09SU1V1,-0.175,1.026,-0.608
F09SU1V2,-0.266,1.024,-0.685
F09SU2V1,-0.415,1.022,-0.668
F09SU3V1,-0.393,1.024,-0.916
F09SU3V2,-0.619,1.025,-1.032
F09SU3V3,-0.604,1.025,-1.104
F09SU3V4,-0.695,1.023,-1.432
F09SU4V1,-0.655,1.025,-1.418
F09SU5V1,-0.696,1.025,-1.479
F09SU5V2,-0.755,1.026,-1.644
F10A0V1,0.634,1.024,-1.199
F10A0V2,-0.173,1.027,-0.046
F10A0V3,-0.393,1.026,-0.117
F10A1V1,-0.244,1.021,-0.403
F10A1V2,-0.338,1.024,-0.352
F10A2V1,-0.365,1.024,-0.391
F10A2V2,-0.404,1.026,-0.437
F10A3V1,-0.347,1.025,-0.944
F10A3V2,-0.443,1.026,0.023
F10A4V1,-0.481,1.024,0.123
F10A4V2,-0.395,1.025,-0.018
F10A5V1,-0.349,1.026,-0.088
F10D0V1,-0.44,1.026,-0.149
F10D1V1,-0.46,1.023,-0.224
F10D1V2,-0.554,1.024,-0.305
F10D2V1,-0.527,1.023,-0.429
F10D3V1,-0.541,1.022,-0.455
F10D3V2,-0.497,1.02,-0.443
F10D4V1,-0.479,1.024,-0.518
F10D5V1,-0.468,1.024,-0.51
F10F0V1,-0.54,1.026,-0.135
F10F0V2,-0.473,1.026,-0.145
F10F1V1,-0.179,1.023,-0.599
F10F2V1,-0.094,1.026,-0.696
F10F3V1,0.029,1.022,-0.637
F10F3V2,0.067,1.023,-0.761
F10F4V1,-0.505,1.014,0.08
F10F4V2,-0.484,1.022,0.106
F10F5V1,-0.492,1.019,0.129
F10F5V2,-0.473,1.018,0.22
F10H0V1,0.588,1.027,-0.733
F10H0V2,0.51,1.026,-0.861
F10H0V3,0.636,1.024,-1.154
F10H1V1,-0.377,1.023,0.085
F10H1V2,-0.028,1.025,0.106
F10H2V1,-0.154,1.024,0.184
F10H3V1,-0.192,1.019,0.004
F10H3V2,-0.203,1.024,0.067
F10H4V1,-0.229,1.024,0.058
F10H5V1,-0.305,1.021,-0.026
F10H5V2,0.061,1.024,-0.118
F10N1V1,-0.4,1.027,-0.429
F10N2V1,-0.356,1.027,-0.481
F10N3V1,0.005,1.028,-0.236
F10N4V1,-0.046,1.025,-0.343
F10N5V1,-0.032,1.026,-0.375
F10SA0V1,-0.356,1.027,-0.262
F10SA0V2,-0.524,1.026,0.005
F10SA1V1,-0.461,1.024,-0.545
F10SA2V1,-0.473,1.023,-0.017
F10SA2V2,-0.428,1.024,-0.041
F10SA2V3,-0.397,1.025,-0.126
F10SA3V1,-0.329,1.024,-0.159
F10SA4V1,-0.223,1.022,-0.375
F10SA4V2,-0.16,1.025,-0.464
F10SA5V1,-0.173,1.024,-0.624
F10SU0V1,-0.429,1.027,-0.31
F10SU0V2,-0.389,1.027,-0.324
F10SU1V1,-0.067,1.025,-0.376
F10SU2V1,-0.015,1.026,-0.465
F10SU3V1,0.023,1.027,-0.525
F10SU3V2,0.058,1.026,-0.565
F10SU3V3,-0.334,1.026,0.108
F10SU4V1,-0.319,1.026,-0.062
